# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 21:14:22 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-187245.725000	4.701162
2	20	-173387.330000	7823.497529
3	20	-163580.470000	1383.085785
4	20	-158607.820000	14960.398956
5	20	-256228.110000	417467.641914
6	20	-232260.385000	372613.230138
7	20	-216673.975000	176991.888860
8	20	-644020.255000	1112337.156048
9	20	-325466.635000	289773.207994
10	20	-314359.680000	203576.158175
11	20	-674895.150000	1016053.936114
12	20	-302816.040000	223298.417791
13	20	-985652.295000	1631343.106989

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_15_f	15	2	-164055.9	-161238.4	5635.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_10_f	10	2	-179582.3	-175909.8	7345.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K2_run_19_f	19	2	-164051.8	-161238.3	5627.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_4_f	4	3	-164058.1	-155782.9	16550.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_3_f	3	3	-163603.1	-155793.6	15619.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_15_f	15	3	-163632.2	-155783.0	15698.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_1_f	1	3	-164085.0	-155781.8	16606.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_10_f	10	3	-163504.6	-155758.9	15491.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_11_f	11	3	-163704.8	-155751.9	15905.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_7_f	7	3	-164961.8	-155791.2	18341.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_13_f	13	3	-163840.2	-155769.8	16140.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_12_f	12	3	-163766.3	-155795.3	15942.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_20_f	20	3	-163903.5	-155799.4	16208.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_18_f	18	3	-163892.1	-155764.8	16254.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_9_f	9	3	-164027.2	-155790.1	16474.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_19_f	19	3	-163218.1	-155766.4	14903.5
