# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 22:40:20 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	12	-187246.216667	3.822620
2	12	-175714.341667	7035.062071
3	12	-163403.891667	1753.279190
4	12	-161302.216667	18863.413546
5	12	-325081.600000	536746.072887
6	12	-287962.183333	480990.935736
7	12	-243785.658333	218364.143687
8	12	-739796.950000	1257515.576902
9	12	-426226.283333	339679.406535
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_10_f	10	3	-163504.6	-155758.9	15491.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_8_f	8	3	-164016.0	-155774.3	16483.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_8_f	8	4	-159817.1	-152779.4	14075.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_1_f	1	4	-149764.4	-144883.2	9762.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_9_f	9	4	-156685.8	-150908.1	11555.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_3_f	3	4	-156506.4	-150771.7	11469.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_6_f	6	4	-220361.7	-150805.6	139112.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_10_f	10	4	-149640.9	-144877.5	9526.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_4_f	4	4	-156648.4	-150912.2	11472.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_7_f	7	4	-156879.6	-151147.0	11465.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_2_f	2	4	-156826.7	-151147.0	11359.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_5_f	5	4	-156484.9	-150768.8	11432.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_11_f	11	4	-159466.9	-152742.2	13449.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_12_f	12	4	-156543.8	-150768.0	11551.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_1_f	1	5	-151577.6	-145317.3	12520.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_3_f	3	5	-152066.0	-145669.8	12792.3
