# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
MPO484	5	1.0000	0.0000	0.0000	0.9886	0.0056	0.0005	0.0227	0.0222	0.0010	0.9773	0.0222	0.0010	0.0114	0.0056	0.0005	0.9886	0.0056	0.0005	0.0227	0.0222	0.0010	0.0000	47.8880	0.0000
MPO485	67	1.0000	0.0000	0.0000	0.9817	0.0088	0.0006	0.0366	0.0352	0.0012	0.9634	0.0352	0.0012	0.0183	0.0088	0.0006	0.9817	0.0088	0.0006	0.0366	0.0352	0.0012	0.0000	47.2109	0.0000
MPO486	2	1.0000	0.0000	0.0000	0.9914	0.0042	0.0005	0.0173	0.0170	0.0010	0.9827	0.0170	0.0010	0.0086	0.0042	0.0005	0.9914	0.0042	0.0005	0.0173	0.0170	0.0010	0.0000	48.1563	0.0000
MPO487	2	1.0000	0.0000	0.0000	0.9912	0.0043	0.0005	0.0175	0.0172	0.0010	0.9825	0.0172	0.0010	0.0088	0.0043	0.0005	0.9912	0.0043	0.0005	0.0175	0.0172	0.0010	0.0000	48.1445	0.0000
MPO488	1	1.0000	0.0000	0.0000	0.9900	0.0049	0.0005	0.0201	0.0197	0.0011	0.9799	0.0197	0.0011	0.0100	0.0049	0.0005	0.9900	0.0049	0.0005	0.0201	0.0197	0.0011	0.0000	48.0183	0.0000
MPO489	4	1.0000	0.0000	0.0000	0.9895	0.0051	0.0005	0.0210	0.0205	0.0010	0.9790	0.0205	0.0010	0.0105	0.0051	0.0005	0.9895	0.0051	0.0005	0.0210	0.0205	0.0010	0.0000	47.9748	0.0000
MPO490	1	1.0000	0.0000	0.0000	0.9917	0.0041	0.0005	0.0166	0.0164	0.0010	0.9834	0.0164	0.0010	0.0083	0.0041	0.0005	0.9917	0.0041	0.0005	0.0166	0.0164	0.0010	0.0000	48.1877	0.0000
MPO491	2	1.0000	0.0000	0.0000	0.9908	0.0045	0.0005	0.0184	0.0181	0.0010	0.9816	0.0181	0.0010	0.0092	0.0045	0.0005	0.9908	0.0045	0.0005	0.0184	0.0181	0.0010	0.0000	48.1016	0.0000
OICP541	0	1.0000	0.0000	0.0000	0.9898	0.0050	0.0005	0.0204	0.0200	0.0009	0.9796	0.0200	0.0009	0.0102	0.0050	0.0005	0.9898	0.0050	0.0005	0.0204	0.0200	0.0009	0.0000	48.0037	0.0000
OICP542	1	1.0000	0.0000	0.0000	0.9884	0.0057	0.0005	0.0233	0.0227	0.0010	0.9767	0.0227	0.0010	0.0116	0.0057	0.0005	0.9884	0.0057	0.0005	0.0233	0.0227	0.0010	0.0000	47.8610	0.0000
OICP543	0	1.0000	0.0000	0.0000	0.9905	0.0046	0.0005	0.0189	0.0185	0.0009	0.9811	0.0185	0.0009	0.0095	0.0046	0.0005	0.9905	0.0046	0.0005	0.0189	0.0185	0.0009	0.0000	48.0760	0.0000
OICP544	16	1.0000	0.0000	0.0000	0.9904	0.0047	0.0005	0.0193	0.0189	0.0009	0.9807	0.0189	0.0009	0.0096	0.0047	0.0005	0.9904	0.0047	0.0005	0.0193	0.0189	0.0009	0.0000	48.0567	0.0000
OICP545	1	1.0000	0.0000	0.0000	0.9883	0.0057	0.0005	0.0235	0.0229	0.0010	0.9765	0.0229	0.0010	0.0117	0.0057	0.0005	0.9883	0.0057	0.0005	0.0235	0.0229	0.0010	0.0000	47.8530	0.0000
OICP546	1	1.0000	0.0000	0.0000	0.9865	0.0066	0.0005	0.0271	0.0264	0.0011	0.9729	0.0264	0.0011	0.0135	0.0066	0.0005	0.9865	0.0066	0.0005	0.0271	0.0264	0.0011	0.0000	47.6746	0.0000
OICP547	1	1.0000	0.0000	0.0000	0.9893	0.0053	0.0005	0.0215	0.0210	0.0010	0.9785	0.0210	0.0010	0.0107	0.0053	0.0005	0.9893	0.0053	0.0005	0.0215	0.0210	0.0010	0.0000	47.9504	0.0000
OICP548	1	1.0000	0.0000	0.0000	0.9881	0.0058	0.0005	0.0239	0.0233	0.0010	0.9761	0.0233	0.0010	0.0119	0.0058	0.0005	0.9881	0.0058	0.0005	0.0239	0.0233	0.0010	0.0000	47.8334	0.0000
OICP549	10	1.0000	0.0000	0.0000	0.9873	0.0062	0.0005	0.0254	0.0248	0.0010	0.9746	0.0248	0.0010	0.0127	0.0062	0.0005	0.9873	0.0062	0.0005	0.0254	0.0248	0.0010	0.0000	47.7567	0.0000
OICP550	23	1.0000	0.0000	0.0000	0.9873	0.0062	0.0005	0.0254	0.0247	0.0010	0.9746	0.0247	0.0010	0.0127	0.0062	0.0005	0.9873	0.0062	0.0005	0.0254	0.0247	0.0010	0.0000	47.7586	0.0000
IRO601	4	1.0000	0.0000	0.0000	0.9825	0.0085	0.0006	0.0351	0.0338	0.0012	0.9649	0.0338	0.0012	0.0175	0.0085	0.0006	0.9825	0.0085	0.0006	0.0351	0.0338	0.0012	0.0000	47.2838	0.0000
IRO602	4	1.0000	0.0000	0.0000	0.9792	0.0100	0.0007	0.0416	0.0398	0.0013	0.9584	0.0398	0.0013	0.0208	0.0100	0.0007	0.9792	0.0100	0.0007	0.0416	0.0398	0.0013	0.0000	46.9654	0.0000
IRO603	5	1.0000	0.0000	0.0000	0.9814	0.0090	0.0006	0.0373	0.0359	0.0013	0.9627	0.0359	0.0013	0.0186	0.0090	0.0006	0.9814	0.0090	0.0006	0.0373	0.0359	0.0013	0.0000	47.1758	0.0000
IRO604	102	1.0000	0.0000	0.0000	0.9782	0.0104	0.0007	0.0435	0.0416	0.0014	0.9565	0.0416	0.0014	0.0218	0.0104	0.0007	0.9782	0.0104	0.0007	0.0435	0.0416	0.0014	0.0000	46.8701	0.0000
IRO605	6	1.0000	0.0000	0.0000	0.9817	0.0088	0.0006	0.0365	0.0352	0.0013	0.9635	0.0352	0.0013	0.0183	0.0088	0.0006	0.9817	0.0088	0.0006	0.0365	0.0352	0.0013	0.0000	47.2126	0.0000
IRO606	6	1.0000	0.0000	0.0000	0.9835	0.0080	0.0006	0.0329	0.0318	0.0012	0.9671	0.0318	0.0012	0.0165	0.0080	0.0006	0.9835	0.0080	0.0006	0.0329	0.0318	0.0012	0.0000	47.3894	0.0000
IRO607	4	1.0000	0.0000	0.0000	0.9817	0.0088	0.0006	0.0366	0.0352	0.0013	0.9634	0.0352	0.0013	0.0183	0.0088	0.0006	0.9817	0.0088	0.0006	0.0366	0.0352	0.0013	0.0000	47.2097	0.0000
IRO608	105	1.0000	0.0000	0.0000	0.9755	0.0117	0.0007	0.0491	0.0467	0.0014	0.9509	0.0467	0.0014	0.0245	0.0117	0.0007	0.9755	0.0117	0.0007	0.0491	0.0467	0.0014	0.0000	46.5973	0.0000
IRO609	93	1.0000	0.0000	0.0000	0.9751	0.0118	0.0007	0.0499	0.0474	0.0014	0.9501	0.0474	0.0014	0.0249	0.0118	0.0007	0.9751	0.0118	0.0007	0.0499	0.0474	0.0014	0.0000	46.5583	0.0000
IRO610	2	1.0000	0.0000	0.0000	0.9875	0.0061	0.0006	0.0250	0.0244	0.0012	0.9750	0.0244	0.0012	0.0125	0.0061	0.0006	0.9875	0.0061	0.0006	0.0250	0.0244	0.0012	0.0000	47.7782	0.0000
HGRF661	0	1.0000	0.0000	0.0000	0.9940	0.0030	0.0004	0.0121	0.0119	0.0008	0.9879	0.0119	0.0008	0.0060	0.0030	0.0004	0.9940	0.0030	0.0004	0.0121	0.0119	0.0008	0.0000	48.4118	0.0000
HGRF662	1	1.0000	0.0000	0.0000	0.9941	0.0029	0.0004	0.0119	0.0117	0.0008	0.9881	0.0117	0.0008	0.0059	0.0029	0.0004	0.9941	0.0029	0.0004	0.0119	0.0117	0.0008	0.0000	48.4204	0.0000
HGRF663	0	1.0000	0.0000	0.0000	0.9936	0.0032	0.0004	0.0128	0.0126	0.0008	0.9872	0.0126	0.0008	0.0064	0.0032	0.0004	0.9936	0.0032	0.0004	0.0128	0.0126	0.0008	0.0000	48.3748	0.0000
HGRF664	20	1.0000	0.0000	0.0000	0.9940	0.0030	0.0004	0.0121	0.0119	0.0008	0.9879	0.0119	0.0008	0.0060	0.0030	0.0004	0.9940	0.0030	0.0004	0.0121	0.0119	0.0008	0.0000	48.4100	0.0000
HGRF665	39	1.0000	0.0000	0.0000	0.9914	0.0042	0.0004	0.0172	0.0169	0.0009	0.9828	0.0169	0.0009	0.0086	0.0042	0.0004	0.9914	0.0042	0.0004	0.0172	0.0169	0.0009	0.0000	48.1589	0.0000
HGRF666	0	1.0000	0.0000	0.0000	0.9946	0.0027	0.0004	0.0109	0.0108	0.0007	0.9891	0.0108	0.0007	0.0054	0.0027	0.0004	0.9946	0.0027	0.0004	0.0109	0.0108	0.0007	0.0000	48.4686	0.0000
HGRF667	24	1.0000	0.0000	0.0000	0.9942	0.0029	0.0004	0.0116	0.0115	0.0007	0.9884	0.0115	0.0007	0.0058	0.0029	0.0004	0.9942	0.0029	0.0004	0.0116	0.0115	0.0007	0.0000	48.4322	0.0000
HGRF668	0	1.0000	0.0000	0.0000	0.9948	0.0026	0.0004	0.0105	0.0103	0.0007	0.9895	0.0103	0.0007	0.0052	0.0026	0.0004	0.9948	0.0026	0.0004	0.0105	0.0103	0.0007	0.0000	48.4904	0.0000
